Do you feel safe riding your bicycle in Syracuse,Why or why not?,What changes would you like to see in cycling infrastructure?,Does the current state of infrastructure affect your plans for the future?,What type of riding do you do?,What gender you identify with?,What is your employment status?,Where economic class would you put yourself in?,What age range are you in?
No,"High traffic zones, not enough cycling routes ",Better city planning for cycling also snow removal with cyclers in mind,Neither I love cycling so it's not going to deter me ,"Recreation, Commuting",Man,Full time,Middle Class,51-60
No,It’s not exactly a no for me - there are places that feel safe.  There are others where there is high risk of riding over glass and popping a tire or where there you are very close to cars. ,Would love to see parts of railroad infrastructure that is no longer used or maintained reclaimed for safe biking space. ,Does not really affect plans ,Recreation,Woman,Full time,Upper Middle,31-40
Yes,"I feel safe in most parts of Syracuse because I follow the same laws that cars do. I wish there were more bike lanes. driving between the road and the curb as a designated bike lane feels more dangerous than just driving in the road. That space is narrower, and often has debris like glass and broken car parts. ",More designated bike lanes and clear signage ,N/A,"Recreation, Commuting",Man,Full time,Lower Middle Class,31-40
Yes,I am a confident cyclists and I say in general that I feel safe because I suspend my fear in order to enjoy cycling.  But there are a lot of reasons to be afraid of it and from my perspective one of the largest is the irresponsibility of many drivers and how they do not respect bikes on the road. Drivers not expecting and looking for cyclists and using phones while driving give me the most fear. ,"Dedicated routes, select separated bike lanes and driver education/ safety awareness campaign, enforcement ( lots of cars park in bike lanes) bike parking at businesses and other community centers. ","Yes, it makes me want to leave. ","Recreation, Commuting",Woman,Full time,Middle Class,21-30
No,Primarily due to the lack of concern by vehicle drivers on the road. Their lack of care and sense of entitlement make riding along roadways too dangerous.,"Better bike lanes separated from traffic lanes to ensure delivery trucks or the ""I'll only be a minute"" folks can't block the lanes for cyclists.",Current changes related to the community grid will be a benefit to the community. ,Recreation,Man,Full time,Middle Class,41-50
No,"Car drivers seem worse than ever. Speed limits, stop signs and traffic lights have become optional ","More bike lanes, more traffic enforcement",Infrastructure is getting better. CNY is a beautiful place to ride. ,"Recreation, Commuting",Man,Full time,Middle Class,61-70
Yes,It sort of depends? Some days are fine and I’m able to bike where I need to go with no problems. But there have been other days where I have got some really uncomfortable cat calling comments at me on my way to work. One man said to me as I was biking down Marcellus street “I see you bike around here everyday beautiful” which made feel extremely unsafe just the thought of some creepy old guy watching me. ,"More bike racks around downtown to park your bike!!! It’s such a task to find places to lock up my bike around town, often I have to use my U-lock on parking signs, trees, or attempt to lock it to a fence. The only place I have actually used a bike rack is at my place of work. ",I think it’s okay-ish but would be happy to see some change <3,Commuting,Woman,Part time,Lower Middle Class,21-30
No,"I don't feel safe because drivers don't pay attention to cyclists, there aren't enough bike lanes, and when there are bike lanes, drivers do not respect them. There are often vehicles and delivery trucks parked in the bike lane.","More bike lanes would be great, some way to enforce that the lane is not for parking. More bike racks at businesses.",It makes me frustrated and afraid to bike despite my lack of a vehicle.,"Recreation, Commuting","Non-binary, genderqueer, or gender fluid",Grad student at a local college,Lower Middle Class,31-40
No,Too many close passes by drivers. Bicycle lanes generally are not separated or respected,Physically separated bicycle lanes that cars are unable to claim/may be shared with buses or wheelchairs. Covered/secure bicycle parking where appropriate. ,I will continue to bike as i have despite lack of infrastructure.,"Recreation, Commuting",Man,Full time,Lower Middle Class,31-40
No,I don’t feel safe riding in Syracuse because I get anxiety riding with a lot of cars around. ,Better bike lines and protected lanes. Protected lines would make it so cars don’t park in the lanes which puts riders at further danger when needing to maneuver around.  ,Not leave but I have always wanted to ride my bike to work and am scared so I haven’t. ,Recreation,Woman,Full time,Middle Class,21-30
No,Cars. Ignorant people distracted driving that think that bikes don’t have a right to be on the road.,Isolated bike lanes separated by physical barriers,I already spend all summer on Cape Cod with dozens of miles of paved rail trail.,"Recreation, Commuting",Man,Other,Middle Class,61-70
No,Having cyclist use road is not normalized in Syracuse. Roads are clearly built for vehicles only.,Actual bike lanes created with all road construction with visual cues for drivers.,It does make me long to live somewhere where bikes sharing the road is a part of normal life,Recreation,Woman,Full time,Upper Middle,51-60
Yes,"I feel safe because I made it a priority to live where there’s a bike lane for ~80% of my commute (took me 2 months of living too far and driving, but I finally found a spot within my price range).",PROTECTED bike lanes!!,I haven’t lived here in winter yet. Hoping the snow isn’t just pushed into the bike lanes. ,"Recreation, Commuting",Woman,"Grad student at a local college, Part time",Lower Class,31-40
No,"Lack of bike lanes, and the bike lanes that do exist have no barriers or lane separation. Even small parking blocks run along side a bike lane would go a long way for me.","More legitimate bikes lanes, not just sharrows, and bike lanes that are seperated from car traffic.","I think if I didn't have other factors keeping me in Syracuse, being unable to bike safely would push me away I think. I really enjoy when I'm biking to work and I take a calm and quiet side street through a neighborhood, but only until a car zooms past","Recreation, Commuting",Man,Full time,Middle Class,21-30
Yes,"I think it is something of a conditional response based on where I ride (between my home and SU campus, primarily).  For me, I have decent bike routes through either Oakwood or on Comstock, and I would say they are fine.  That said, biking more widely throughout Syracuse is a bit sketchier.  It has gotten better in the campus/downtown areas over the last 10 - 15 years, but things like crossing the major highways (81, 690, 481) are always a bit rough, and the infrastructure for biking is less good as you get away from campus or downtown.","I'd love to see a few dedicated bike thoroughfares that cross the city in various directions. Bike lanes are a start, but they still put you riding in traffic.  I lived in Madison WI for about 10 years, and one of the nice things about that town was that you really could get most places on a dedicated bike lane where cars were not allowed. I know there are some of these in town (Creekwalk, Erie Trail, Empire), so it is getting better, but depending on where you are, it can still be a bit challenging to get *to* the dedicated trails.","No, for the types of riding that I do and the frequency that I do them, the infrastructure here is fine.  I'd like to see more, of course, but it doesn't affect my planning.","Recreation, Commuting",Man,Full time,Upper Middle,41-50
No,"Not many bike lanes, especially further from SU campus. Cars frequently stopped or parked in lanes, people jogging or scooters using in wrong direction, this week even a motorcycle. People don't know how to use bike lanes or how to drive around them","MORE. Both protected and non-protected. Also more education for cyclists, motorists, pedestrians and scooters",Affects where we live in Syracuse ,"Recreation, Commuting",Woman,Full time,Upper Middle,41-50
No,Poor infrastructure and the constant contact with drivers who don’t understand that cyclists have right to the road,Protected bike lanes separate from car traffic. Leading ped/bike signals at traffic light. Narrower car lanes in urban areas to slow traffic.,Lack of safety as a cyclist is the number one cause for me looking to move out.,"Recreation, Commuting",Man,Full time,Upper Middle,21-30
No,"No protected bike lanes, very few if any traffic calming infrastructure, cars here ignore many traffic laws (eg, blow through stop lights and do not stop at stop signs), and bicyclists are not respected on the roads  ","Protected bike lanes, bike routes routed around busy highways/dangerous intersections, and traffic calming infrastructure in the city",Encourages me to leave,"Recreation, Commuting",Woman,Full time,Lower Middle Class,31-40
No,The vehicles to not respect riders or rules of the road. ,More protected bicycle lanes ,Yes!,"Recreation, Commuting",Man,Full time,Middle Class,41-50
No,I wish there was a sometimes option.  I broadly feel safe but there are certainly times where I do not.  I generally feel on my daily commute from Eastwood to University Hill (and will feel even safer once the bike lanes on Burnet and Peat are completed).  There are times riding downtown though where there's no choice but to ride in the streets which some motorists do not like and sometimes yell...,"I would like to see more bike lanes generally, especially protected bike lanes and bike lanes along or near streets that go from one part of the city to another.  I'd love to be able to ride from Eastwood to Tipp Hill but I'm not sure of a good way to do that without riding on heavily trafficked roads.",I will continue to commute daily (we'll see how late into the year I actually stick to this...) and am encouraged that the city has plans to add some new bike lanes but there could always be more and it could always be better.,"Recreation, Commuting",Man,Full time,Middle Class,31-40
Yes,I mostly ride it around the university neighborhood / Barry Park /SU /Upstate area which generally has good shoulders or bike lanes. ,More sheltered bike racks. My pie in the sky dream is something like this: https://en.wikipedia.org/wiki/Trampe_bicycle_lift  going up Waverly / Marshall / Adams to make it easier to bike from Downtown to University Neighborhood / Westcott.,No,"Recreation, Commuting",Man,Full time,Middle Class,31-40
No,"Not really. It seems like drivers don’t know that cyclists have the right to the road. Also, it’s dangerous when other cyclists ride on the wrong side of the road.","More protected bike lanes, more sharrows, more public education Re: cycling rights",No,Commuting,Woman,Full time,Lower Middle Class,31-40
No,"Traffic, the carelessness of drivers ","A lane, enforcement of speed",It will…..,"Recreation, Commuting",Man,Other,Upper Middle,31-40
No,"Not enough bike infrastructure and awareness from motorists. The new traffic circle, also, was 100% created with ONLY motorists in mind. Cyclists will be taking our lives in our hands trying to get to downtown and campus now.",Bike lanes and signals. Basically more of Erie Boulevard: separate bike lanes with signals for bikes. ,It’s encouraging me to leave. How can a city have a HUGE road reconstruction project and exclude an entire demographic????,"Recreation, Commuting",Woman,Full time,Middle Class,41-50
No,"Lack of infrastructure, hostile drivers, generally poor road conditions, broken glass,","Covered bike paths, more pedestrian/bike only streets",Encourages me to leave but can't afford to,"Recreation, Commuting","Non-binary, genderqueer, or gender fluid",Full time,Lower Class,31-40
No,"Lack of decent (or any) bike lanes, debris left and cars parked in bike lanes, cars blowing through stop signs",More bike lanes and improved enforcement of bike lanes,Neither,"Recreation, Commuting",Man,Full time,Middle Class,51-60
No,"To many streets in the city with narrow or no shoulders, often decorated with broken glass, folding pavement, or deep potholes.",Expanding marked bike lanes and/or improving the quality of the road surfaces outside of the most affluent residential and commercial areas.,"Other things constrain any impulse to move my residence, but there needs to be more established bike routes",Commuting,Man,"Part time, Full time",Lower Middle Class,41-50
No,Bike lanes are not protected from surrounding traffic,Dedicated bike lanes with barriers to prevent collisions with cars,"I'm not going anywhere, but I will cycle more if I can feel secure",Recreation,Woman,Other,Lower Class,71-80
No,"I don’t feel safe riding my bike in Syracuse because there are often either cars or trucks parked or garbage, broken glass, plant debris in the  lanes. often there are people jogging the opposite direction causing you to have to swerve. that combined with all the texting and driving, ignorance of basic traffic rules, it does not feel safe ",more protection for bike lanes (plastic dividers) and more dedicated areas for garbage and joggers ,"neutral, i can walk or drive to the destinations i use my bike to access ",Commuting,Woman,Full time,Lower Middle Class,21-30
